object_id,title,description,iiif_manifest,creator,period,medium,dimensions,location,credit,thumbnail,year,object_type,subjects,featured
image16,Khipu,,,Unknown,1500-1632,Fiber; dyed,15 x 26 inches (38 x 66 cm),,"Courtesy AD&A Museum; Gift of Dr. Stephen S. Goodspeed and Mrs. John Goodspeed Ainsworth. Image: Material/Image Research Lab (MIRL), UCSB",,,,,
image2,"Drawing of khipukamayuq, El primer nueva corónica y buen gobierno.",,,Felipe Guaman Poma de Ayala,1615/1616,,,,"Royal Library, Copenhagen, Denmark",,,,,
image3,Khipu,,,Unknown,1500-1632,Fiber; dyed,15 x 26 inches (38 x 66 cm),,Courtesy AD&A Museum; Gift of Dr. Stephen S. Goodspeed and Mrs. John Goodspeed Ainsworth,,,,,
image4,"Examining the AD&A khipu, Spring 2025",,,,,,,,Courtesy AD&A Museum; Gift of Dr. Stephen S. Goodspeed and Mrs. John Goodspeed Ainsworth,,,,,
image5,Tripod Vessel,,,Nazca,ca. 200 - 500 CE,"Terracotta, polychrome slip",8 1/2 h. x 7 inches dia.,,,,,,,
image6,"A section of the khipu showing the end of the primary cord, as well as clusters of pendant and subsidiary cords",,,,,,,,"Courtesy AD&A Museum; Gift of Dr. Stephen S. Goodspeed and Mrs. John Goodspeed Ainsworth. Image: Material/Image Research Lab (MIRL), UCSB",,,,,
image7,Detail of Khipu,,,Unknown,1500-1632,Fiber; dyed,15 x 26 inches (38 x 66 cm),,"Courtesy Material/Image Research Lab (MIRL), UCSB",,,,,
image8,"PhD Student Alida Jekabson examines and records the AD&A khipu, Spring 2025",,,,,,,,"Courtesy Material/Image Research Lab (MIRL), UCSB",,,,,
image10,"Taking a sample from the khipu for radio-carbon dating, Spring 2025",,,,,,,,"Courtesy Material/Image Research Lab (MIRL), UCSB",,,,,
image11,Two AMS samples on radiocarbon curve,,,,,,,,Calibrated with SHCal20 Southern Hemisphere Calibration (Hogg et al. 2020),,,,,
image12,"Hyperspectral imaging of the khipu, Spring 2025 in the Material/Image Research Lab (MIRL) at UCSB",,,,,,,,"Courtesy Material/Image Research Lab (MIRL), UCSB",,,,,
image13,380nm Hyperspectral image,,,,,,,,Hyperspectral image courtesy of Avalon Labs,,,,,
image14,1000nm Hyperspectral image,,,,,,,,Hyperspectral image courtesy of Avalon Labs,,,,,
image15,"Thomas Harper Goodspeed, Plant Hunters in the Andes",Book cover.,,,1941,,,,Courtesy the Internet Archive,,,,,
image17,"Cluster 10, annotated",,,Izzy Devlin,,,,,"Courtesy Material/Image Research Lab (MIRL), UCSB",,,,,
image18,Rolled-up seriated khipu,,,,1450-1534,Cotton and camelid fiber,,,Courtesy of Dumbarton Oaks. PC.WBC.2016.070.,,,,,
image19,"Cluster 10, annotated",,,Izzy Devlin,,,,,"Courtesy Material/Image Research Lab (MIRL), UCSB",,,,,
